"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","FG%","FT%","3PTM","PTS","REB","AST","ST","BLK","TO","Image"
"428.p.6019","71","Sexton","Collin","UTA","Questionable","GTD - Illness","PG,SG","129.0","11.5","$1.2","90%","0.487","0.859","128","1458","205","383","62","18","165","https://s.yimg.com/iu/api/res/1.2/p52sjDjfsQyTL2.jNG4qAQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10092023/6019.png"
"428.p.4622","72","Holiday","Jrue","BOS","Available","","PG,SG","44.7","4.3","$21.2","100%","0.480","0.833","138","860","373","333","61","53","124","https://s.yimg.com/iu/api/res/1.2/3x070IKo9seYNYV0uW_aiQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11132023/4622.png"
"428.p.5602","73","Brown","Jaylen","BOS","Available","","SF,SG","36.1","3.6","$22.2","100%","0.499","0.703","145","1610","387","249","83","37","166","https://s.yimg.com/iu/api/res/1.2/RNm_CiSHrw.nsQlyV.SmtQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10102023/5602.png"
"428.p.4886","74","Valanciunas","Jonas","NOP","Available","","C","96.4","8.7","$4.8","100%","0.559","0.785","37","1002","721","173","32","68","111","https://s.yimg.com/iu/api/res/1.2/hYfwcc3GDbESY.Rbn3pG5g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10232023/4886.png"
"428.p.6253","75","Reid","Naz","MIN","Available","","C,PF","136.9","12.0","$1.4","37%","0.477","0.736","169","1090","423","106","63","73","111","https://s.yimg.com/iu/api/res/1.2/OFWMZufh3gCoGW9AFrIKEQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/6253.png"
"428.p.6516","76","Suggs","Jalen","ORL","Available","","PG,SG","127.3","11.2","$1.1","17%","0.471","0.756","153","943","229","205","106","47","132","https://s.yimg.com/iu/api/res/1.2/DOSA58TryIx4E07.7x99sg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10192023/6516.png"
"428.p.5476","77","Rozier","Terry","MIA","Questionable","GTD - Neck","PG,SG","80.2","7.3","$6.3","100%","0.443","0.869","149","1205","247","342","63","21","106","https://s.yimg.com/iu/api/res/1.2/nDMworHbGWH_14VV58FAbg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/01312024/5476.png"
"428.p.5843","78","Hart","Josh","NYK","Available","","SF,SG","126.6","11.2","$1.9","90%","0.434","0.791","80","761","675","331","75","23","118","https://s.yimg.com/iu/api/res/1.2/94t9f3hsspYeGCtbdeCW.g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10232023/5843.png"
"428.p.6433","79","Jones","Tre","SAS","Available","","PG","109.3","9.8","$3.0","95%","0.505","0.856","64","771","289","478","78","9","116","https://s.yimg.com/iu/api/res/1.2/7i1xx5PiPWuYZ8OfC4e03A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10122023/6433.png"
"428.p.6558","80","Sengun","Alperen","HOU","Questionable","GTD - Ankle","C","57.4","5.4","$14.5","100%","0.537","0.693","33","1331","589","312","76","46","162","https://s.yimg.com/iu/api/res/1.2/Z9g_mDm1yAEDFCym.P3YCg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10162023/6558.png"
"428.p.5164","81","Olynyk","Kelly","TOR","Available","","C,PF","141.5","12.7","$1.1","15%","0.555","0.833","60","762","411","347","74","30","152","https://s.yimg.com/iu/api/res/1.2/Zymw40AnAK8.ZelIOMdI5w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/02132024/5164.png"
